vendor,series,model,product_category,product_subtype,description,source_pages,occurrences,modes,max_range_mm,range_opposed_mm,range_retroreflective_mm,range_diffuse_mm,range_convergent_mm,range_fixed_field_mm,range_fiber_optic_mm,range_ultrasonic_mm,supply_voltage_dc_min_v,supply_voltage_dc_max_v,supply_voltage_ac_raw,outputs,connections,housing_material,enclosure_rating,operating_temp_min_c,operating_temp_max_c,dimensions_mm,features,low_confidence
Banner,ECONO-BEAM,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,,6;8,2,convergent;diffuse;fiber_optic;opposed;retroreflective,4500,1800,4500,200,,,,,10,30,105 to 130,NPN+PNP(150mA);SCR/FET(300mA),cable,PBT or LEXAN,IP66; NEMA 4X,0,50,38 x 32 x 30 mm,,sensing_modes.convergent
Banner,EZ-BEAM,,Sensores fotoeléctricos (Photoelectric sensors),Sensores para campo fijo (Fixed-field sensors),Sensor fotoeléctrico de campo fijo,6;17,2,fixed_field,2000,,,,,2000,,,,,,,,,,,,,,sensing_modes
Banner,EZ-BEAM,EZ-BEAM S2,Sensores fotoeléctricos (Photoelectric sensors),Sensores para uso en Redes de Comunicaciones,Sensores fotoeléctricos standard con conexiones compatibles a la red y salidas de estado-sólido para conexión directa a cajas de conexión,14,1,fixed_field;opposed;retroreflective,,,,,,,,,,,,other,,,,,,,instalación sin necesidad de ajuste;auto-diagnóstico;salida de alarma separada;tres tipos de estilo,description;sensing_modes;outputs;features
Banner,L-GAGE,,Sensores fotoeléctricos (Photoelectric sensors),Productos Nuevos,"Sensores de medicion por laser clase 2 de desplazamiento visible, diseno todo-en-uno sin controlador separado",3;14;16,3,fixed_field,,,,,,,,,,,,analog;other,,,,,,,laser clase 2 de desplazamiento visible;diseno todo-en-uno (no requiere controlador separado);programable Teach (limites cerca y lejos por boton o senal remota);salida a escala (patente pendiente);resolucion de 10 micrones a la respuesta mas lenta;velocidad de respuesta seleccionable;auto-diagnostico con salida de alarma;sistema indicador comprensivo de estado;funcion de salida unica hold en perdida de senal momentanea,sensing_modes;outputs;features;other_specs
Banner,M12,,Sensores fotoeléctricos (Photoelectric sensors),Productos Nuevos,Emisores láser clase 1 o clase 2 IEC modulados visibles para modos opuestos,6;16,2,opposed,50000,50000,,,,,,,10,30,,,cable;quick-disconnect,suave encapsulado de aluminio,,,,,clase 1 o clase 2 IEC;rayo colimado 2 mm de diámetro;menos de 1 miliradian de divergencia;perforado visible para alineación del rayo;modelos especiales para 5V dc,sensing_modes;supply_voltage_dc_min_v;supply_voltage_dc_max_v;connections;housing_material;other_specs.supply_special
Banner,MAXI-BEAM,,Sensores fotoeléctricos (Photoelectric sensors),Modular Self-Contained Sensors,Modular self-contained photoelectric sensor,6;7;17,3,convergent;diffuse;fiber_optic;fixed_field;opposed;retroreflective,90000,90000,9000,1500,,100,,,10,30,105 to 130 or 210 to 250,NPN+PNP(250mA);SCR/FET(750mA);E/M relay(5000mA),quick-disconnect;wiring chamber,PBT polyester,IP66; NEMA 4,-40,70,114 x 40 x 48 mm,output timing option,
Banner,MINI-ARRAY,,Sensores fotoeléctricos (Photoelectric sensors),Cortinas de Luz para Medición,"Low-profile measuring light curtain (opposed mode with multiple emitter/receiver array plus a controller) for inspection, profiling and process control",5;15,2,opposed,,,,,,,,,,,,other,,,,,,,"ten array lengths from 130 mm (5”) to 1.8 m (6’);beam spacing intervals 2.5 mm (0.10”), 9.5 mm (0.38”), or 19 mm (0.75”);thermal-enclosed models available for toll booths or similar outdoor applications",description;sensing_modes;outputs;features;other_specs
Banner,MINI-BEAM,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,,8;13,3,convergent;diffuse;fiber_optic;opposed;retroreflective,30000,30000,4500,380,,,,,10,30,24 to 240,NPN+PNP(150mA);SCR/FET(300mA);E/M relay,cable;quick-disconnect,PBT polyester,IP67; NEMA 4X,-20,70,,I.S./NAMUR models (MIAD9);low-contrast models;dc supply 5 to 15 (NAMUR),sensing_modes.convergent;supply_voltage_dc_max_v
Banner,MINI-BEAM,Expert,Sensores fotoeléctricos (Photoelectric sensors),Productos Nuevos,Sensor fotoeléctrico miniatura con microprocesador programable y programación remota Teach,3,1,convergent;diffuse;fiber_optic;retroreflective,,,,,,,,,,,,,,,,,,,"microprocesador altamente avanzado (programable);deteccion de encendido y apagado con la presion de un solo boton;programable Teach;auto-ajuste a la mejor condicion establecida;modelos rayo convergente y fibra optica visible rojo, verde, azul y blanco para detectar marcas de color;detector retroreflectivo de material claro",sensing_modes;features;other_specs
Banner,MINI-BEAM,SME312LPC,Sensores fotoeléctricos (Photoelectric sensors),Productos Nuevos,"Detector de objetos claros, sensor retroreflectivo polarizado TEACH-mode para detectar pequeñas diferencias de bajo contraste",6,1,retroreflective,,,,,,,,,,,,,,,,,,,programable Teach;lente lineal-polarizado;fuente visible de luz roja LED 650,sensing_modes;other_specs.light_source;features
Banner,MINI-BEAM,SMU315,Sensores fotoeléctricos (Photoelectric sensors),Sensores Universales de Voltaje,Universal-voltage self-contained MINI-BEAM sensor operating on a wide range of ac or dc voltages,4,1,,,,,,,,,,24,240,24 hasta 240V ac/dc,E/M relay(3000mA),,,,,,,universal ac/dc voltage operation;SPDT electromechanical relay output,supply_voltage_dc_min_v;supply_voltage_dc_max_v;supply_voltage_ac_raw;outputs
Banner,MULTI-BEAM,,Sensores fotoeléctricos (Photoelectric sensors),Modular Self-Contained Sensors,Modular self-contained photoelectric sensor,6;7;15,3,convergent;diffuse;fiber_optic;opposed;retroreflective,200000,200000,23000,2000,,,,,10,48,"12, 24; 105 to 130; 210 to 250",NPN(250mA);PNP(250mA);SCR/FET(750mA);E/M relay(5000mA),quick-disconnect;wiring chamber,PBT polyester,IP54; NEMA 3,-40,70,114 x 40 x 53 mm,output timing option,supply_voltage_dc_max_v
Banner,OMNI-BEAM,,Sensores fotoeléctricos (Photoelectric sensors),Modular Self-Contained Sensors,Modular self-contained photoelectric sensor,7;12;13;14,4,convergent;diffuse;fiber_optic;opposed;retroreflective,45000,45000,9000,1800,,,,,10,30,105 to 130 or 210 to 250,NPN+PNP(100mA);SCR/FET(500mA);analog,cable;quick-disconnect,PBT polyester,IP66; NEMA 4,-40,70,76 x 45 x 55 mm,output timing option;low-contrast models;self-diagnostics + alarm,
Banner,PICO-AMP,,Sensores fotoeléctricos (Photoelectric sensors),Productos Nuevos,Remote ultra-miniature photoelectric sensors with a small modulated DIN-rail amplifier for small-part detection in tight spaces,4,1,,,,,,,,,,10,30,,NPN+PNP,,,,,,,light/dark operate select;sensitivity adjustment;selective pulse output separator;four-position switch selects one of three modulation frequencies or auto-frequency mode;green LED power/overload indicator;yellow LED alignment/marginal-signal indicator;mounts on 35 mm DIN rail;adjustable on 15 mm centers,supply_voltage_dc_min_v;supply_voltage_dc_max_v;outputs;other_specs
Banner,PVA,,Sensores fotoeléctricos (Photoelectric sensors),Productos Nuevos,Verificacion Ordenada de Partes: barrera de luz (emisor y receptor) para operaciones de ensamblaje de partes,3;15,2,,,,,,,,,,,,,,,,,,,,"disponible en cuatro tamanos: 100 mm, 225 mm, 300 mm, 375 mm;emisor y receptor separables hasta 2 m;luces de trabajo (job) grandes y brillantes en ambos sensores;entrelazado al controlador de proceso",features;other_specs
Banner,PicoDot,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,One-piece self-contained photoelectric sensor,9;16,2,,,,,,,,,,10,30,,other(150mA);other(150mA),,ABS,IP54; NEMA 3,-10,45,41 x 13 x 46,,supply_voltage_dc_min_v;supply_voltage_dc_max_v;outputs;other_specs.range_1
Banner,Q08,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,One-piece self-contained photoelectric sensor,9,1,,,,,,,,,,10,30,,other(150mA);other(150mA),,zinc alloy,IP67; NEMA 6,0,50,32 x 20 x 8,,supply_voltage_dc_min_v;supply_voltage_dc_max_v;outputs;other_specs.range_1;other_specs.range_2
Banner,Q10,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,One-piece self-contained photoelectric sensor,9,1,,,,,,,,,,10,30,,other(150mA);other(150mA),,ABS,IP67; NEMA 6P,-40,70,35 x 20 x 10,,supply_voltage_dc_min_v;supply_voltage_dc_max_v;outputs;other_specs.range_1;other_specs.range_2
Banner,Q14,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,One-piece self-contained photoelectric sensor,9,1,,,,,,,,,,10,30,,other(150mA);other(150mA),,ABS,IP54; NEMA 4,-20,55,31 x 7.5 x 14,,supply_voltage_dc_min_v;supply_voltage_dc_max_v;outputs;other_specs.range_1
Banner,Q23,Q23,Sensores fotoeléctricos (Photoelectric sensors),Productos Nuevos,Modelo receptor fotoeléctrico modulado compatible con emisores láser M12 en modos opuestos,6,1,,,,,,,,,,,,,,,,,,,,,model;description
Banner,Q25,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,One-piece self-contained photoelectric sensor,10,1,fixed_field;opposed;retroreflective,20000,20000,2000,,,100,,,10,30,20 to 250,NPN(150mA);PNP(150mA);SCR/FET(300mA),cable;quick-disconnect,PBT polyester,IP67; NEMA 6P,-40,70,50 x 25 x 30 mm,Self-diagnostics + alarm,
Banner,Q40,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,,11,1,diffuse;opposed;retroreflective,60000,60000,6000,600,,,,,10,30,20 to 250,other(150mA);other(150mA);other(300mA),,PBT polyester,IP67; NEMA 6P,-40,70,70 x 40 x 46 mm,,sensing_modes;outputs
Banner,Q45,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Sensors,One-piece self-contained photoelectric sensor,7;13;16,3,convergent;diffuse;fiber_optic;opposed;retroreflective,70000,60000,70000,3000,,,,,5,30,90 to 250,NPN+PNP(250mA);SCR/FET(300mA);E/M relay(5000mA),cable;quick-disconnect,PBT polyester,IP67; NEMA 6P,-40,70,88 x 45 x 55 mm,output timing option;I.S./NAMUR models (Q45AD9),supply_voltage_dc_min_v
Banner,Q45,Q45,Sensores fotoeléctricos (Photoelectric sensors),Productos Nuevos,Modelo receptor fotoeléctrico modulado compatible con emisores láser M12 en modos opuestos,6,1,,,,,,,,,,,,,,,,,,,,,model;description
Banner,Q45,Q45BW13,Sensores fotoeléctricos (Photoelectric sensors),Sensores Universales de Voltaje,Universal-voltage Q45 sensor with opto-isolated SPST output switch,4,1,,,,,,,,,,12,250,24 a 250V ac,other(300mA),,,,,,,opto-isolated SPST output;universal ac/dc voltage operation,supply_voltage_dc_min_v;supply_voltage_dc_max_v;supply_voltage_ac_raw;outputs;other_specs
Banner,Q45,Q45VR3,Sensores fotoeléctricos (Photoelectric sensors),Sensores Universales de Voltaje,Universal-voltage Q45 sensor with 5-amp SPDT electromechanical relay output for larger loads,4,1,,,,,,,,,,12,250,24 a 250V ac,E/M relay(5000mA),,,,,,,SPDT electromechanical relay output;universal ac/dc voltage operation,supply_voltage_dc_min_v;supply_voltage_dc_max_v;supply_voltage_ac_raw;outputs
Banner,Q45X,,Sensores fotoeléctricos (Photoelectric sensors),Sensores para uso en Redes de Comunicaciones,"Sensores fotoeléctricos con ranura de expansión integrada para conectar tarjeta y cable para protocolos de comunicación (DeviceNet, SDS, AS-I)",14,1,convergent;diffuse;fiber_optic;opposed;retroreflective,,,,,,,,,,,,,,,,,,,"ranura de expansión integrada;protocolos de comunicación DeviceNet, SDS, AS-I",description;sensing_modes;features
Banner,Q85,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,,8,1,diffuse;opposed;retroreflective,23000,23000,4500,1000,,,,,10,48,12 to 240 (ss output) / 24 to 240 (e/m relay),NPN+PNP(150mA);SCR/FET(300mA);E/M relay,quick-disconnect;wiring chamber,ABS,IP67; NEMA 6P,-25,55,67 x 25 x 85 mm,output timing option,
Banner,QH23 & Q23,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,One-piece self-contained photoelectric sensor,9,1,,,,,,,,,,10,30,,other(150mA);other(150mA),,ABS,IP67; NEMA 6,-20,55,34 x 12 x 23,,supply_voltage_dc_min_v;supply_voltage_dc_max_v;outputs;other_specs.range_1;other_specs.range_2;other_specs.range_3;other_specs.range_4;other_specs.range_5;other_specs.housing_style
Banner,QM(T)42,,Sensores fotoeléctricos (Photoelectric sensors),Sensores para campo ajustable (Adjustable-field sensors),Sensor fotoeléctrico de campo ajustable con dos rangos de corte,17,1,fixed_field,400,,,,,400,,,,,,,,,,,,,ajuste electrónico que permite mover el punto de corte dentro del rango,sensing_modes;features
Banner,QM42,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,,11;16,2,fixed_field;opposed;retroreflective,10000,10000,3000,,,2000,,,10,30,,other(100mA);other(100mA),,Zinc alloy,IP67; NEMA 6P,-20,70,42 x 13 x 42 mm,,sensing_modes;outputs;other_specs
Banner,QMT42,,Sensores fotoeléctricos (Photoelectric sensors),Sensores para campo fijo (Fixed-field sensors),Sensor fotoeléctrico de campo fijo,17,1,fixed_field,2000,,,,,2000,,,,,,,,,,,,,,sensing_modes
Banner,R55,,Sensores fotoeléctricos (Photoelectric sensors),Productos Nuevos,"Sensor para detectar marcas de color, emisor estado-sólido y receptor con salida análoga integrada para registro de marca",6,1,,,,,,,,,,,,,analog,,,IP67; NEMA,,,,emisor estado-sólido;tiempo de respuesta de sólo 50 µs;retraso en el apagado de 50 ms;lógica de un disparo;escaparate con barra movible;construcción de metal fuerte;reconocimiento de color y planimetria de superficie,outputs;enclosure_rating;other_specs.response_time;other_specs.off_delay;other_specs.low_contrast
Banner,R55,R55,Sensores fotoeléctricos (Photoelectric sensors),Sensores para Detección de Marcas de Color,Sensor para detección de marcas de color (color mark/registration sensor) con salida análoga,13,1,,,,,,,,,,,,,analog,,,IP67; NEMA,,,,"construcción de metal fuerte;IP67 y NEMA;tiempo de respuesta de detección de solo 50 microsegundos;interruptor escogido de 50 milisegundos de retraso o salida de disparo;fuentes de luz roja, verde, azul o blanca;salida análoga",enclosure_rating;outputs;features;other_specs
Banner,S12,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,One-piece self-contained photoelectric sensor,10,1,opposed,15000,15000,,,,,,,10,30,,NPN(150mA);PNP(150mA),cable;quick-disconnect,PBT polyester,IP67; NEMA 6P,-40,70,M12 x 1 x 64 mm,Self-diagnostics + alarm,
Banner,S18 & M18,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,One-piece self-contained photoelectric sensor,10,1,diffuse;fixed_field;opposed;retroreflective,20000,20000,2000,300,,100,,,10,30,20 to 250,NPN(150mA);PNP(150mA);SCR/FET(300mA),cable;quick-disconnect,S18: PBT; M18: s. steel,IP67; NEMA 6P,-40,70,M18 x 1 x 59 mm,Self-diagnostics + alarm,
Banner,S30,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,One-piece self-contained photoelectric sensor,10,1,fixed_field;opposed;retroreflective,60000,60000,6000,,,600,,,10,30,20 to 250,NPN(150mA);PNP(150mA);SCR/FET(300mA),cable;quick-disconnect,PBT polyester,IP67; NEMA 6P,-40,70,M30 x 1.5 x 69 mm,Self-diagnostics + alarm,
Banner,SM30,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,,11;16,2,opposed,200000,200000,,,,,,,10,30,24 to 240 (standard); 20 to 250 (EZ-BEAM),other(150mA);other(150mA);other(250mA);other(500mA),,PBT or s. steel,IP67; NEMA 6P,-40,70,M30 x 1.5 x 102 mm,,sensing_modes;outputs
Banner,SMI30,SMI30,Sensores fotoeléctricos (Photoelectric sensors),Sensores para Ambientes Volátiles (Explosivos),"Sensores intrínsecamente seguros, extremadamente resistentes y potentes, para las áreas más peligrosas",13,1,,,,,,,,,,,,,,,,,,,,intrínsecamente seguros;extremadamente resistentes y potentes,description;features
Banner,SP12,,Sensores fotoeléctricos (Photoelectric sensors),Sensores Para Ambientes Severos,Par emisor/receptor remoto acompañado de un módulo amplificador MAXI-AMP,16,1,,,,,,,,,,,,,,,polyester moldeado PBT o encapsulado de acero inoxidable,NEMA 6P,,,,ultra-durable epoxy-encapsulado;alta fuerza óptica de penetración;gran inmunidad a interferencias eléctricas;resistente a lavado a manguera;módulo amplificador MAXI-AMP,enclosure_rating;housing_material;features
Banner,T18,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,,11,1,diffuse;opposed;retroreflective,20000,20000,2000,100,,,,,10,30,20 to 250,other(150mA);other(150mA);other(300mA),,PBT polyester,IP67; NEMA 6P,-40,70,42 x 30 x 30 mm,,sensing_modes;outputs
Banner,T18XDN,,Sensores fotoeléctricos (Photoelectric sensors),Sensores para uso en Redes de Comunicaciones,"Sensores ""inteligentes"" conectables directamente a la red de comunicación de DeviceNet con auto-diagnóstico avanzado",14,1,,,,,,,,,,,,,,,,,,,,auto-diagnóstico avanzado;alarma de salida separada;LEDs doble para indicar el rendimiento del sensor,description;features
Banner,T18XSD,,Sensores fotoeléctricos (Photoelectric sensors),Sensores para uso en Redes de Comunicaciones,Idénticos a la serie T18XDN pero diseñados para usarse con la red de comunicación SDS,14,1,,,,,,,,,,,,,,,,,,,,red de comunicación SDS;idénticos a la serie T18XDN,description;features
Banner,T30,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,,11,1,diffuse;opposed;retroreflective,60000,60000,6000,600,,,,,10,30,20 to 250,other(150mA);other(150mA);other(300mA),,PBT polyester,IP67; NEMA 6P,-40,70,52 x 40 x 45 mm,,sensing_modes;outputs
Banner,VALU-BEAM,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,,6;8,2,convergent;diffuse;fiber_optic;opposed;retroreflective,60000,60000,9000,760,,,,,,,,NPN+PNP(250mA);SCR/FET(750mA);E/M relay,cable;quick-disconnect,PBT polyester,IP66; NEMA 4X,,,64 x 37 x 36 mm,I.S./NAMUR models (SMI912),
Banner,VALU-BEAM,SMI,Sensores fotoeléctricos (Photoelectric sensors),Sensores para Ambientes Volátiles (Explosivos),"Sensor fotoeléctrico intrínsecamente seguro para ambientes peligrosos, aprobado por Factory Mutual y KEMA",13,1,,,,,,,,,,,,,,,,,,,,aprobados por Factory Mutual y KEMA;conectados a través de barreras de seguridad intrínsecas a un amplificador con interruptor de corriente,description;features
Banner,S18,,Sensores fotoeléctricos láser (Photoelectric laser sensors),Sensores Laser,Emisor láser para usarse con receptores Banner fotoeléctricos modulados de modo-opuesto,16,1,opposed,,,,,,,,,,,,,,,,,,,disponible en clase 1 y clase 2;excelente para detectar partes muy pequeñas o registros de largo alcance,sensing_modes;features
Banner,Q45,Q45UR,Sensores ultrasónicos (Ultrasonic),Sensores con Respuesta Analógica,Sensor ultrasónico que usa un transducer remoto para aplicaciones de medición precisa por desplazamiento,14,1,ultrasonic,,,,,,,,,,,,,,,,,,,transducer ultrasónico remoto;medición precisa por desplazamiento,description;sensing_modes;other_specs;features
Banner,Q45U,,Sensores ultrasónicos (Ultrasonic),One-Piece Self-Contained Sensors,Ultrasonic one-piece self-contained sensor,12,1,ultrasonic,3000,,,,,,,3000,12,24,,NPN+PNP(150mA);analog,cable;quick-disconnect,PBT polyester,IP67; NEMA 6P,-40,70,88 x 45 x 55 or 79 mm,Teach-mode programming;Windowing;High/low limit control,
Banner,Q45UR,,Sensores ultrasónicos (Ultrasonic),Productos Nuevos,Sensores Ultrasónicos Remotos con transductor remoto de acero inoxidable conectado al Q45,5,1,ultrasonic,150,,,,,,,150,,,,analog(20mA),quick-disconnect,acero inoxidable (transductor remoto),,,,,"salidas discretas y análogas;programación TEACH-mode mediante interruptor de botón;repetibilidad sensitiva ± 0.1%;tamaño de ventana programable 1 mm, 2 mm, 3 mm, 4 mm;resolución sensitiva 0.10 mm",sensing_modes;outputs;connections;housing_material;features;other_specs
Banner,T18U,,Sensores ultrasónicos (Ultrasonic),One-Piece Self-Contained Sensors,Ultrasonic one-piece self-contained sensor,12,1,ultrasonic,600,,,,,,,600,12,30,,NPN(150mA);PNP(150mA),cable;quick-disconnect,PBT polyester,IP67; NEMA 6P,-40,70,52 x 40 x 30 mm,,
Banner,ULTRA-BEAM,,Sensores ultrasónicos (Ultrasonic),One-Piece Self-Contained Sensors,Ultrasonic one-piece self-contained sensor,12,1,ultrasonic,6000,,,,,,,6000,18,30,105 to 130 or 210 to 260,E/M relay;analog,cable;quick-disconnect,PBT polyester,IP54; NEMA 12,0,50,120 x 50 x 49 mm,Windowing (analog),
