vendor,series,model,product_category,mode,variant,range_max_mm,focus_mm,material,source_pages
Banner,S18 & M18,,Sensores fotoeléctricos (Photoelectric sensors),fixed_field,,100,,,10
Banner,S30,,Sensores fotoeléctricos (Photoelectric sensors),opposed,,60000,,,10
Banner,S30,,Sensores fotoeléctricos (Photoelectric sensors),retroreflective,polarized,6000,,,10
Banner,S30,,Sensores fotoeléctricos (Photoelectric sensors),fixed_field,,600,,,10
Banner,SM30,,Sensores fotoeléctricos (Photoelectric sensors),opposed,,200000,,,11;16
Banner,T18,,Sensores fotoeléctricos (Photoelectric sensors),opposed,,20000,,,11
Banner,T18,,Sensores fotoeléctricos (Photoelectric sensors),retroreflective,polarized,2000,,,11
Banner,T18,,Sensores fotoeléctricos (Photoelectric sensors),retroreflective,non-polarized,500,,,11
Banner,T18,,Sensores fotoeléctricos (Photoelectric sensors),diffuse,,100,,,11
Banner,T30,,Sensores fotoeléctricos (Photoelectric sensors),opposed,,60000,,,11
Banner,T30,,Sensores fotoeléctricos (Photoelectric sensors),retroreflective,polarized,6000,,,11
Banner,T30,,Sensores fotoeléctricos (Photoelectric sensors),diffuse,,600,,,11
Banner,VALU-BEAM,,Sensores fotoeléctricos (Photoelectric sensors),opposed,long range,60000,,,6;8
Banner,VALU-BEAM,,Sensores fotoeléctricos (Photoelectric sensors),opposed,short range,3000,,,6;8
Banner,VALU-BEAM,,Sensores fotoeléctricos (Photoelectric sensors),retroreflective,non-polarized,9000,,,6;8
Banner,VALU-BEAM,,Sensores fotoeléctricos (Photoelectric sensors),retroreflective,polarized,4500,,,6;8
Banner,VALU-BEAM,,Sensores fotoeléctricos (Photoelectric sensors),diffuse,long range,760,,,6;8
Banner,VALU-BEAM,,Sensores fotoeléctricos (Photoelectric sensors),diffuse,short range,380,,,6;8
Banner,VALU-BEAM,,Sensores fotoeléctricos (Photoelectric sensors),convergent,,,38,,6;8
Banner,VALU-BEAM,,Sensores fotoeléctricos (Photoelectric sensors),fiber_optic,,,,Glass or plastic,6;8
Banner,S18,,Sensores fotoeléctricos láser (Photoelectric laser sensors),opposed,laser,,,,16
Banner,Q45,Q45UR,Sensores ultrasónicos (Ultrasonic),ultrasonic,,,,,14
Banner,Q45U,,Sensores ultrasónicos (Ultrasonic),ultrasonic,proximity mode,1400,,,12
Banner,Q45U,,Sensores ultrasónicos (Ultrasonic),ultrasonic,proximity mode,3000,,,12
Banner,Q45UR,,Sensores ultrasónicos (Ultrasonic),ultrasonic,,150,,,5
Banner,T18U,,Sensores ultrasónicos (Ultrasonic),ultrasonic,opposed-mode,600,,,12
Banner,ULTRA-BEAM,,Sensores ultrasónicos (Ultrasonic),ultrasonic,proximity mode,6000,,,12
